ID,Parameter,Symbol,Conditions,Min,Typ,Max,Guarantee Level,Export to datasheet,ID,Name,ID,Test Name,Test Number,Test #,Test Name,Test Type,Temp,Unit,Mean,Median,Standard Deviation,Min,Max,Unnamed: 10,Default Scales?,Process Dependent,Scale (Down),Offset (Down),Scale (Up),Offset (Up),N Sigma (Down),N Sigma (Up),GBD No Scale Min,GBD No Scale Max,GBD Min,GBD Max,EC/QA Low Limit (from tester),EC/QA High Limit (from tester),EC/QA Low Limit (Override),EC/QA High Limit (Override),EC / QA Min (Input),EC / QA Max (Input),GB Type,Tester Accuracy,HW Component Accuracy,T2T Gage or Combined Gage Sigma,B2B Gage Sigma,Correlation Target,Correlation Delta Min,Correlation Delta Max,Insertion Repeatability,Supply Mean Shift,Correlation Components Required?,Calculation Blank?,GB Test Type?,Limits Method,Temperature Components Required?,Means of Temperatures tested,Temperature Mean Shift (Min),Temperature Mean Shift (Max),NegDrift,PosDrift,Temperature Sigma Drift,Temperature Sigma Drift.1,Temperature Sigma Shift (Min),Temperature Sigma Shift (Max),Calculated Gage Components,Valid NegDrift,Valid PosDrift,EC Shift (Min),EC Shift (Max),Uncertainty GB (Min),Uncertainty GB (Max),Default Guardband (Min),Default Guardband (Max),Calculated Guardband (Min),Calculated Guardband (Max),Override Guardband (Min),Override Guardband (Max),Applied Guardband (Min),Applied Guardband (Max),Calc EC?,EC / QA Min (Output),EC / QA Max (Output),FT Min,FT Max,(For Calc Only) SPF (Min),(For Calc Only) SPF (Max),(For Calc Only) FT SPF (Min),(For Calc Only) FT SPF (Min).1,"QA
GBD
HZ06-PSPEC2-77,Corner Frequency,f c,f S  = 8kHz,,0.312,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a
HZ06-PSPEC2-78,Corner Frequency,f c,f S  = 48kHz,,1.872,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-667,ATPG scan - DBF,HZ06-MVPATE-667,ATPG scan - DBF,735,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a
HZ06-PSPEC2-78,Corner Frequency,f c,f S  = 48kHz,,1.872,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-664,ATPG scan - SAF,HZ06-MVPATE-664,ATPG scan - SAF,720,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a
HZ06-PSPEC2-78,Corner Frequency,f c,f S  = 48kHz,,1.872,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-665,ATPG scan - SBF,HZ06-MVPATE-665,ATPG scan - SBF,725,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a
HZ06-PSPEC2-78,Corner Frequency,f c,f S  = 48kHz,,1.872,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a
HZ06-PSPEC2-79,Corner Frequency,f c,f S  = 96kHz,,3.744,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-667,ATPG scan - DBF,HZ06-MVPATE-667,ATPG scan - DBF,735,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a
HZ06-PSPEC2-79,Corner Frequency,f c,f S  = 96kHz,,3.744,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-664,ATPG scan - SAF,HZ06-MVPATE-664,ATPG scan - SAF,720,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a
HZ06-PSPEC2-79,Corner Frequency,f c,f S  = 96kHz,,3.744,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-665,ATPG scan - SBF,HZ06-MVPATE-665,ATPG scan - SBF,725,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a
HZ06-PSPEC2-79,Corner Frequency,f c,f S  = 96kHz,,3.744,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a
HZ06-PSPEC2-80,Corner Frequency,f c,f S  = 192kHz,,7.488,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-667,ATPG scan - DBF,HZ06-MVPATE-667,ATPG scan - DBF,735,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a,Scan_DBF  -1 <> Scan_DBF,0,0.0,0.0,n/a
HZ06-PSPEC2-80,Corner Frequency,f c,f S  = 192kHz,,7.488,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-664,ATPG scan - SAF,HZ06-MVPATE-664,ATPG scan - SAF,720,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a,Scan_SAF  -1 <> Scan_SAF,0,0.0,0.0,n/a
HZ06-PSPEC2-80,Corner Frequency,f c,f S  = 192kHz,,7.488,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-665,ATPG scan - SBF,HZ06-MVPATE-665,ATPG scan - SBF,725,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a,Scan_SBF  -1 <> Scan_SBF,0,0.0,0.0,n/a
HZ06-PSPEC2-80,Corner Frequency,f c,f S  = 192kHz,,7.488,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a,Scan_TDF  -1 <> Scan_TDF,0,0.0,0.0,n/a
HZ06-PSPEC2-92,Output Offset Voltage,V OS,"T A  = +25°C, ZSPK = 8Ω + 33µH or 4Ω + 33µH, DRE_EN = 0, SPK_PCM_GAIN = 110b (18dB), V PVDD  = 6.5V",,±1,±3,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-754,Post_Spk_Vos_PostTrim,HZ06-MVPATE-754,Post_Spk_Vos_PostTrim,1505,SpkrVOS_Post  -1 <> SpkrVOS_Post,mV,-0.205,0.207,4.509,SpkrVOS_Post  -1 <> SpkrVOS_Post,mV,7.9580589999999995,0.606,6.074,SpkrVOS_Post  -1 <> SpkrVOS_Post,mV,-4.766079,0.6509999999999999,2.169
HZ06-PSPEC2-93,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, out of Shutdown, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,-63,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-94,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, into Shutdown, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,-66,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-348,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, out of Shutdown, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,-63,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-349,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, into Shutdown, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,-66,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-350,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, out of Shutdown, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 10b (boost bypass disabled)",,-63,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-351,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, into Shutdown, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 10b (boost bypass disabled)",,-66,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-352,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, out of Shutdown, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,-63,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-353,Click-and-Pop Level,K CP,"Peak voltage, A-weighted, 32 samples per second. Digital audio inputs have zero-code input, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, into Shutdown, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,-66,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-95,Dynamic Range ,DNR,"LRCLK = 48kHz, 24 or 32 bits, -60dBFS 1kHz output signal, normalized to full scale (THD+N = 1%), Z SPK  = 8Ω + 33µH, A-weighted",,108,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1010,Dynamic Range,HZ06-MVPATE-1945,Spk_DNR[dB],7330,Dynamic_Range  -1 <> Dynamic_Range,dB,96.27906,0.55,14.192,Dynamic_Range  -1 <> Dynamic_Range,dB,96.28437,0.511,15.28,Dynamic_Range  -1 <> Dynamic_Range,dB,96.21424,0.735,10.691
HZ06-PSPEC2-96,Dynamic Range ,DNR,"LRCLK = 48kHz, 24 or 32 bits, -60dBFS 1kHz output signal, normalized to full scale (THD+N = 1%), Z SPK  = 8Ω + 33µH, un-weighted",,105,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-97,Dynamic Range ,DNR,"LRCLK = 48kHz, 24 or 32 bits, -60dBFS 1kHz output signal, normalized to full scale (THD+N = 1%), Z SPK  = 4Ω + 33µH, A-weighted",,107,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-98,Dynamic Range ,DNR,"LRCLK = 48kHz, 24 or 32 bits, -60dBFS 1kHz output signal, normalized to full scale (THD+N = 1%), Z SPK  = 4Ω + 33µH, un-weighted",,104,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-99,Output Noise,e Nd,"Z SPK  = 8Ω + 33µH or 4Ω + 33µH, DRE enabled, A-weighted",,22,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1192,Output Noise,HZ06-MVPATE-1192,Output Noise,7310,SumNoise  -1 <> SumNoise,uV,50.74212,3.013071,5.607,SumNoise  -1 <> SumNoise,uV,51.121320000000004,2.658591,6.4,SumNoise  -1 <> SumNoise,uV,50.73283,2.8699939999999997,5.885
,,,,,,,,,HZ06-MVPHUB-1191,Output Noise_Aweighted,HZ06-MVPATE-1191,Output Noise_Aweighted,
HZ06-PSPEC2-100,Output Noise,e Nd,"Z SPK  = 8Ω + 33µH or 4Ω + 33µH, DRE enabled, un-weighted",,40,,"VII - Production Tested, Internal Only",No,HZ06-MVPHUB-1192,Output Noise,HZ06-MVPATE-1192,Output Noise,7310,SumNoise  -1 <> SumNoise,uV,50.74212,3.013071,5.607,SumNoise  -1 <> SumNoise,uV,51.121320000000004,2.658591,6.4,SumNoise  -1 <> SumNoise,uV,50.73283,2.8699939999999997,5.885
HZ06-PSPEC2-354,Output Noise,e Nd,"Z SPK  = 8Ω + 33µH or 4Ω + 33µH, DRE enabled, A-weighted, receiver mode",,14,,"VII - Production Tested, Internal Only",Yes,,,,,
HZ06-PSPEC2-101,Power Supply Input Range,PVDD,Guaranteed by Class D PSRR test,2.65,,10,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1006,"PSRR (PVDD,VBAT)",HZ06-MVPATE-1006,"PSRR (PVDD,VBAT)",7055,PSRR(dB)  -1 <> PSRR(dB),dB,68.88384,9.246097,8.61E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.05174,8.380085000000001,9.57E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.39577,8.314662,9.78E-01
HZ06-PSPEC2-102,Output Power,P OUT,"V VBAT  = 4.3V, THD+N ≤ 1%, I LIM  = 4.1A, Z SPK  = 8Ω+33µH",,3.6,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-103,Output Power,P OUT,"V VBAT  = 4.3V, THD+N ≤ 1%, I LIM  = 4.1A, Z SPK  = 6Ω+33µH",,4.6,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-104,Output Power,P OUT,"V VBAT  = 4.3V, THD+N ≤ 1%, I LIM  = 4.1A, Z SPK  = 4Ω+33µH",,4.9,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-105,Output Power,P OUT,"V VBAT  = 4.3V, THD+N ≤ 10%, I LIM  = 4.1A, Z SPK  = 8Ω+33µH",,4.6,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-106,Output Power,P OUT,"V VBAT  = 4.3V, THD+N ≤10%, I LIM  = 4.1A, Z SPK  = 6Ω+33µH",,5.7,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-107,Output Power,P OUT,"V VBAT  = 4.3V, THD+N ≤10%, I LIM  = 4.1A, Z SPK  = 4Ω+33µH",,6.1,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-260,Output Power,P OUT,"V VBAT  = 4.3V, V PVDD  = 10V (BST_VOUT = 11100b), THD+N ≤ 1%, ILIM = 4.1A, Z SPK  = 8Ω+33µH",,4.7,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-261,Output Power,P OUT,"V PVDD  = 4.3V, V VBST  = 10V (BST_VOUT = 11100b), THD+N ≤ 1%, ILIM = 4.1A, Z SPK  = 4Ω+33µH",,4.8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-262,Output Power,P OUT,"V VBAT  = 4.3V, V PVDD  = 10V (BST_VOUT = 11100b), THD+N ≤ 10%, ILIM = 4.1A, Z SPK  = 8Ω+33µH",,5.8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-263,Output Power,P OUT,"V VBAT  = 4.3V, V PVDD  = 10V (BST_VOUT = 11100b), THD+N ≤ 10%, ILIM = 4.1A, Z SPK  = 4Ω+33µH",,6.1,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-108,Total Harmonic Distortion + Noise,THD+N,"f = 1kHz, P OUT  = 0.5W, Z SPK  = 8Ω+33µH",,0.016,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-109,Total Harmonic Distortion + Noise,THD+N,"f = 1kHz, P OUT  = 0.5W, Z SPK  = 4Ω+33µH",,0.016,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1008,THD+N,HZ06-MVPATE-1943,THD+N,7305,THD+N_dB  -1 <> THD+N_dB,dB,70.73576,0.297,55.367,THD+N_dB  -1 <> THD+N_dB,dB,78.25835,0.449,30.998,THD+N_dB  -1 <> THD+N_dB,dB,75.26772,0.85,17.551
HZ06-PSPEC2-109,Total Harmonic Distortion + Noise,THD+N,"f = 1kHz, P OUT  = 0.5W, Z SPK  = 4Ω+33µH",,0.016,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1918,THD+N (boost_bypassed_en),HZ06-MVPATE-1950,THD+N_bst_bypass_en,7306,THD+N_V  -1 <> THD+N_V,V/V,3440.0,119.0434,n/a,THD+N_V  -1 <> THD+N_V,V/V,8190.0,423.0362,n/a,THD+N_V  -1 <> THD+N_V,V/V,5830.0,570.3681,n/a
HZ06-PSPEC2-110,Intermodulation Distortion,IMD,"ITU-R, 5.5kHz/6.5kHz, 1:1, V OUT  = 2V pk , Z SPK  = 8Ω + 33µH",,65,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-111,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost on, no input signal, Z SPK  = ∞, DC, V VBAT  = 2.65V to 5.5V",,100,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1006,"PSRR (PVDD,VBAT)",HZ06-MVPATE-1006,"PSRR (PVDD,VBAT)",7055,PSRR(dB)  -1 <> PSRR(dB),dB,68.88384,9.246097,8.61E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.05174,8.380085000000001,9.57E-01,PSRR(dB)  -1 <> PSRR(dB),dB,69.39577,8.314662,9.78E-01
HZ06-PSPEC2-112,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost on, no input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, AC, f = 217Hz, V VBAT  ripple = 500mV PP",,100,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-113,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost on, no input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, AC, f = 1kHz, V VBAT  ripple = 500mV PP",,95,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-114,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost on, no input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, AC, f = 10kHz, V VBAT  ripple = 500mV PP",,80,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-274,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost bypassed, no input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, DC, V VBAT  = 2.65V to 5.5V",,70,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1914,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),HZ06-MVPATE-1946,PSRR_bst_bypass_enabled(,7384,PSRR_dB  -1 <> PSRR_dB,dB,74.71489,9.813265,1.859,PSRR_dB  -1 <> PSRR_dB,dB,74.78856999999999,10.7447,n/a,PSRR_dB  -1 <> PSRR_dB,dB,61.32291,8.435535,n/a
HZ06-PSPEC2-275,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost bypassed, no input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, AC, f = 217Hz, V VBAT  ripple = 500mV PP",,70,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-276,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost bypassed, no input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, AC, f = 1kHz, V VBAT  ripple = 500mV PP",,70,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-277,VBAT Power Supply Rejection Ratio (VBAT to Speaker Amplifier),PSRR,"Boost bypassed, no input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, AC, f = 10kHz, V VBAT  ripple = 500mV PP",,60,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-115,DVDD Power Supply Rejection Ratio (DVDD to Speaker Amplifier),PSRR,"No input signal, Z SPK  = 8Ω + 33µH or 4Ω + 33µH, AC, f = 1kHz, V DVDD  ripple = 100mV PP",,90,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-116,Output Switching Frequency,f S,48kHz related sample rates,,646,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1005,Output_freq,HZ06-MVPATE-1005,Output_freq,7030,Output freq_p  -1 <> Output freq_p,khz,646.7374,0.00135,38.701,Output freq_p  -1 <> Output freq_p,khz,646.7373,0.00126,38.766,Output freq_p  -1 <> Output freq_p,khz,646.7371,0.00103,38.922
HZ06-PSPEC2-116,Output Switching Frequency,f S,48kHz related sample rates,,646,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1005,Output_freq,HZ06-MVPATE-1005,Output_freq,7035,Output freq_n  -1 <> Output freq_n,khz,646.7373,0.0013599999999999999,38.691,Output freq_n  -1 <> Output freq_n,khz,646.7374,0.00145,38.633,Output freq_n  -1 <> Output freq_n,khz,646.7371,0.00088,39.031
HZ06-PSPEC2-257,Output Switching Frequency,f S,44.1kHz related sample rates,,639,,VI - Internal Design Target,Yes,,,,,
HZ06-PSPEC2-258,Output Switching Frequency,f S,"SPK_FSW_SEL = 1, 48kHz related sample rates",,326,,VI - Internal Design Target,No,,,,,
HZ06-PSPEC2-259,Output Switching Frequency,f S,"SPK_FSW_SEL = 1, 44.1kHz related sample rates",,319,,VI - Internal Design Target,No,,,,,
HZ06-PSPEC2-117,Efficiency,η SPK,"P OUT  = 2W, f = 1kHz, Z SPK  = 8Ω + 33µH, PVDD external ",,93,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-118,Efficiency,η SPK,"P OUT  = 4W, f = 1kHz, Z SPK  = 4Ω + 33µH, PVDD external ",,86,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-119,Current Limit,I LIM,,,4.5,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1023,IlimPmosN_noTrip,HZ06-MVPATE-1023,IlimPmosN_noTrip,7410,IlimPMOS_N_NoTrip  -1 <> IlimPMOS_N_NoTrip,0,1.029901,0.20199999999999999,5,IlimPMOS_N_NoTrip  -1 <> IlimPMOS_N_NoTrip,0,1.491139,0.157,7.412,IlimPMOS_N_NoTrip  -1 <> IlimPMOS_N_NoTrip,0,0.633,0.313,2.806
HZ06-PSPEC2-119,Current Limit,I LIM,,,4.5,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1021,IlimPmosP_noTrip,HZ06-MVPATE-1021,IlimPmosP_noTrip,7400,IlimPMOS_P_NoTrip  -1 <> IlimPMOS_P_NoTrip,0,-3.04335,0.179,5.495,IlimPMOS_P_NoTrip  -1 <> IlimPMOS_P_NoTrip,0,-3.6594550000000003,0.15,5.188,IlimPMOS_P_NoTrip  -1 <> IlimPMOS_P_NoTrip,0,-2.556946,0.124,6.864
HZ06-PSPEC2-120,Output Stage On-Resistance,R ON,PMOS + NMOS (Full H-Bridge),,400,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1853,OUTN_NMOS_RdsON,HZ06-MVPATE-1881,OUTN_NMOS_RdsON,7215,OUTN_NMOS_Ron  -1 <> OUTN_NMOS_Ron,mohm,193.8783,1.343132,23.01,OUTN_NMOS_Ron  -1 <> OUTN_NMOS_Ron,mohm,240.0728,1.761902,26.194,OUTN_NMOS_Ron  -1 <> OUTN_NMOS_Ron,mohm,158.6528,1.246106,15.513
HZ06-PSPEC2-120,Output Stage On-Resistance,R ON,PMOS + NMOS (Full H-Bridge),,400,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1854,OUTN_PMOS_RdsON,HZ06-MVPATE-1882,OUTN_PMOS_RdsON,7220,OUTN_PMOS_Ron  -1 <> OUTN_PMOS_Ron,mohm,190.987,1.972922,15.242,OUTN_PMOS_Ron  -1 <> OUTN_PMOS_Ron,mohm,223.2988,2.174329,18.735,OUTN_PMOS_Ron  -1 <> OUTN_PMOS_Ron,mohm,165.5034,4.82049,4.514
HZ06-PSPEC2-120,Output Stage On-Resistance,R ON,PMOS + NMOS (Full H-Bridge),,400,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1851,OUTP_NMOS_RdsON,HZ06-MVPATE-1879,OUTP_NMOS_RdsON,7200,OUTP_NMOS_Ron  -1 <> OUTP_NMOS_Ron,mohm,211.433,1.240164,29.519,OUTP_NMOS_Ron  -1 <> OUTP_NMOS_Ron,mohm,258.4749,1.287267,36.094,OUTP_NMOS_Ron  -1 <> OUTP_NMOS_Ron,mohm,166.7524,1.350084,16.302
HZ06-PSPEC2-120,Output Stage On-Resistance,R ON,PMOS + NMOS (Full H-Bridge),,400,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1852,OUTP_PMOS RdsON,HZ06-MVPATE-1880,OUTP_PMOS RdsON,7205,OUTP_PMOS_Ron  -1 <> OUTP_PMOS_Ron,mohm,191.0061,2.0767990000000003,14.489,OUTP_PMOS_Ron  -1 <> OUTP_PMOS_Ron,mohm,224.5413,2.576959,15.988,OUTP_PMOS_Ron  -1 <> OUTP_PMOS_Ron,mohm,165.6001,2.526087,8.604
